Year,Month,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Direction,Wind Speed,Pressure,Dew Point
2016,1,21.242137096774194,74.62186379928315,195.96460573476702,186.75448028673836,70.3932840501792,264.0725806451613,2.5002688172043013,1018.4159946236559,15.462029569892474
2016,2,24.598539272030653,90.46264367816092,188.90134099616859,210.6022509578544,73.64394396551724,234.06273946360153,2.0823515325670496,1017.7183908045977,19.356345785440613
2016,3,27.263844086021507,105.26120071684588,205.16756272401435,250.53382616487454,75.57092069892474,264.62925627240145,2.0613351254480285,1014.9146505376344,22.39056899641577
2016,4,28.696041666666666,124.67893518518518,173.7525462962963,257.7916666666667,81.8769050925926,199.2650462962963,2.6294444444444447,1011.5189814814814,25.217453703703704
2016,5,29.04641577060932,114.53225806451613,168.1964605734767,243.42764336917563,85.62403001792114,210.01344086021504,2.499059139784946,1009.0943100358423,26.34605734767025
2016,6,28.647152777777777,114.13564814814815,117.43726851851852,204.42824074074073,89.36190972222222,177.12962962962962,3.07525462962963,1007.9634259259259,26.693310185185187
2016,7,28.314986559139786,116.37096774193549,65.8429659498208,167.1939964157706,90.57873207885305,196.17540322580646,3.3463485663082437,1007.5504032258065,26.6127688172043
2016,8,28.125313620071683,117.19937275985663,89.94086021505376,184.16353046594983,90.96461917562723,193.21953405017922,2.9269937275985662,1006.2181899641577,26.49106182795699
2016,9,28.419097222222224,106.62222222222222,140.07569444444445,205.15509259259258,88.10730787037038,197.48032407407408,2.3082175925925927,1009.0916666666667,26.238842592592594
2016,10,28.18508064516129,77.5918458781362,178.52979390681003,193.47603046594983,86.26399193548387,202.13485663082437,2.272513440860215,1010.8568548387096,25.638597670250896
2016,11,25.639537037037037,59.96226851851852,244.78773148148147,200.6435185185185,80.33705787037037,244.98611111111111,2.3200462962962964,1014.7905092592592,21.952754629629627
2016,12,23.69527329749104,61.76836917562724,227.7029569892473,186.21774193548387,79.63873431899641,264.6505376344086,2.3931675627240145,1016.4285394265233,19.91314964157706
2017,1,22.093234767025088,54.751568100358426,281.4827508960573,212.47737455197134,72.94060483870967,282.72849462365593,3.2625448028673834,1017.0535394265233,16.91579301075269
2017,2,23.737996031746032,76.65004960317461,253.7953869047619,236.9265873015873,69.15290178571429,270.98635912698415,2.3628472222222223,1017.1421130952381,17.502480158730158
2017,3,25.318324372759857,92.28561827956989,205.4502688172043,237.1709229390681,78.85502688172043,246.72603046594983,2.172603046594982,1014.1866039426524,21.233086917562723
2017,4,27.498958333333334,122.04212962962963,173.5800925925926,254.50949074074074,86.2129537037037,212.88518518518518,2.450949074074074,1012.2020833333333,24.929328703703703
2017,5,29.10226254480287,121.37186379928315,185.331541218638,264.8662634408602,86.21188172043011,220.54905913978496,2.0467741935483867,1009.3418458781362,26.524305555555557
2017,6,28.68914351851852,122.58055555555555,86.72430555555556,189.07986111111111,90.93868287037037,185.8337962962963,3.6819675925925925,1006.675925925926,27.047384259259257
2017,7,28.12831541218638,107.17876344086021,61.327508960573475,152.8279569892473,91.40562275985663,193.1861559139785,3.4326164874551974,1006.7782258064516,26.58223566308244
2017,8,28.2896729390681,117.58602150537635,85.36021505376344,181.09655017921148,90.3627262544803,189.87275985663084,2.9220878136200716,1007.5575716845879,26.542047491039426
2017,9,28.487800925925928,102.925,118.93217592592593,185.91273148148147,89.39219212962963,216.56134259259258,2.257175925925926,1009.8726851851852,26.552060185185184
2017,10,27.811917562724012,78.72737455197132,167.57168458781362,187.49327956989248,86.09526433691757,203.7016129032258,2.3589829749103943,1011.9359318996416,25.23801523297491
2017,11,26.23085648148148,61.52060185185185,219.89050925925926,188.37430555555557,79.36904861111111,218.72685185185185,2.2239814814814816,1014.6201388888888,22.327962962962964
2017,12,23.54148745519713,51.24955197132616,242.47916666666666,180.24641577060933,79.24378136200717,177.3711917562724,2.393301971326165,1017.2945788530466,19.646998207885304
2018,1,20.28537186379928,69.26232078853046,218.9094982078853,194.55017921146953,74.98213485663082,263.5125448028674,2.9358198924731185,1015.8969534050179,15.594802867383512
2018,2,23.115128968253966,88.37574404761905,212.26016865079364,225.0359623015873,75.72084821428572,249.7686011904762,2.0635168650793654,1016.5223214285714,18.430704365079368
2018,3,26.349014336917563,102.48902329749104,215.1655465949821,254.85371863799284,75.74418458781362,252.2562724014337,1.904749103942652,1013.8290770609319,21.48918010752688
2018,4,27.82525462962963,113.3425925925926,211.86064814814816,274.23055555555555,79.47930324074075,242.80138888888888,1.9853935185185185,1012.4296296296296,23.837314814814814
2018,5,28.556810035842297,122.49529569892474,154.2654569892473,240.565188172043,85.1631608422939,194.5141129032258,2.201747311827957,1010.3801523297491,25.77997311827957
2018,6,28.579027777777778,122.49328703703704,79.78310185185185,184.21412037037038,91.02760185185186,194.83032407407407,3.218912037037037,1005.6921296296297,26.94979166666667
2018,7,28.267562724014336,116.70206093189964,68.5344982078853,168.3660394265233,91.59461917562724,192.668458781362,3.4572356630824372,1004.6948924731183,26.754525089605735
2018,8,28.16975806451613,128.53068996415772,96.37141577060932,200.06944444444446,91.15382616487454,182.71393369175627,3.10586917562724,1005.0423387096774,26.57029569892473
2018,9,28.39071759259259,106.24583333333334,142.07685185185184,207.63842592592593,88.49887962962963,222.98356481481483,2.433194444444444,1010.0520833333334,26.286875000000002
2018,10,27.31491935483871,79.12903225806451,148.33826164874552,176.93548387096774,82.75171370967742,217.10013440860214,2.265905017921147,1014.5340501792115,24.07766577060932
2018,11,24.94395833333333,61.735416666666666,247.34027777777777,205.8134259259259,77.4482962962963,195.93634259259258,2.1269212962962962,1016.6104166666667,20.670833333333334
